LABEL,INDEX,nr_pix,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,left2tile,right2tile,verticalness,top2tile,bottom2tile,horizontalness,zero_bottom_right
notequal,3,52,2,11,2,8,14,19,4,4,0.153846154,32,32,1.230769231,4
notequal,4,56,1,10,2,9,19,19,7,7,0.25,32,32,1.142857143,3
notequal,5,50,0,7,2,9,19,17,7,7,0.28,27,27,1.08,2
notequal,6,39,1,6,2,7,13,14,4,4,0.205128205,21,21,1.076923077,3
notequal,7,48,0,5,2,10,18,17,6,6,0.25,26,26,1.083333333,2
notequal,8,45,1,8,2,8,14,16,4,5,0.2,26,27,1.177777778,3
one,1,24,5,3,1,2,12,8,10,9,0.791666667,7,6,0.541666667,0
one,2,29,4,0,2,4,15,9,13,13,0.896551724,8,6,0.482758621,1
one,3,28,5,1,1,3,15,9,15,14,1.035714286,8,7,0.535714286,0
one,4,38,4,1,4,5,18,11,18,15,0.868421053,11,8,0.5,2
one,5,38,4,1,4,5,18,11,18,15,0.868421053,11,8,0.5,2
one,6,35,3,4,3,2,18,12,15,13,0.8,9,9,0.514285714,2
one,7,37,3,5,2,1,18,15,16,14,0.810810811,15,13,0.756756757,0
one,8,41,9,1,1,4,18,15,18,17,0.853658537,14,13,0.658536585,0
seven,1,29,0,2,2,6,16,15,6,6,0.413793103,11,13,0.827586207,1
seven,2,30,1,4,1,5,14,16,4,4,0.266666667,13,15,0.933333333,2
seven,3,39,1,1,2,9,20,19,8,8,0.41025641,15,17,0.820512821,2
seven,4,37,0,0,1,8,20,18,12,11,0.621621622,16,17,0.891891892,0
seven,5,36,0,3,1,8,20,17,9,8,0.472222222,15,16,0.861111111,0
seven,6,29,1,2,1,5,15,16,7,6,0.448275862,13,14,0.931034483,0
seven,7,31,3,4,1,6,14,15,3,3,0.193548387,12,14,0.838709677,4
seven,8,34,1,2,1,7,17,17,8,7,0.441176471,15,16,0.911764706,1
six,1,42,4,1,7,11,17,14,5,7,0.285714286,11,11,0.523809524,4
six,2,37,6,1,5,10,15,12,4,6,0.27027027,11,9,0.540540541,3
six,3,33,5,1,5,7,15,10,6,9,0.454545455,7,8,0.454545455,3
six,4,28,8,1,3,6,14,8,8,8,0.571428571,2,4,0.214285714,4
six,5,34,7,0,3,7,19,8,14,15,0.852941176,6,5,0.323529412,1
six,6,26,8,0,1,6,15,8,8,9,0.653846154,4,3,0.269230769,1
six,7,37,7,0,5,9,17,11,9,10,0.513513514,8,7,0.405405405,4
six,8,33,5,0,5,6,16,8,8,11,0.575757576,4,3,0.212121212,4
three,1,39,3,1,6,9,17,10,5,3,0.205128205,16,16,0.820512821,0
three,2,44,2,2,5,9,18,12,6,6,0.272727273,20,20,0.909090909,0
three,3,40,6,3,5,9,16,12,2,4,0.15,19,19,0.95,1
